G000237001000120010,2
G000237001000120020,2
G000237001001010090,1
G000237001001010100,1
G000237006000710060,2
G000237006000710070,2
G000237006000710210,2
G000237006000710220,2
G000237006000820080,1
G000237006000820090,1
G000237006000820230,1
G000237006000820240,1
G000337001000110010,1
G000337001000110030,1
G000337001000110050,1
G000337001000110070,1
G000337001001220020,2
G000337001001220040,2
G000337001001220060,2
G000337001001220080,2
G000337008000610070,2
G000337008000610080,2
G000337008000920090,1
G000337008000920100,1
G001537007000710060,2
G001537007000710070,2
G001537007000820080,1
G001537007000820090,1
G001837013000110010,1
G001837013000110210,1
G001837013002020200,2
G001837013002020220,2
G002037007000810080,2
G002037007000810090,2
G002037007000920100,1
G002037007000920110,1
G002237008000710070,2
G002237008000710210,2
G002237008000820080,1
G002237008000820220,1
G002537004000810070,2
G002537004000810150,2
G002537004000920100,1
G002537004000920160,1
G003537002000820070,1
G003537002000820080,1
G003537002000910090,2
G003537002000910100,2
G032137002000110010,1
G032137002000110020,1
G032137002000220030,2
G032137002000220040,2
G032137004000910090,2
G032137004000910190,2
G032137004001020100,1
G032137004001020200,1
G032137006000520110,2
G032137006000520120,2
G032137006000610010,1
G032137006000610020,1
G032137009001110090,2
G032137009001110100,2
G032137009001220110,1
G032137009001220120,1
G151137004000510060,2
G151137004000510070,2
G151137004000620080,1
G151137004000620090,1
G251637004000510050,2
G251637004000510110,2
G251637004000620060,1
G251637004000620120,1
G351137002000210040,2
G351137002000210050,2
G351137002000920020,1
G351137002000920030,1
S000137002001010100,2
S000137002001010210,2
S000137002001120110,1
S000137002001120220,1
S001237002000910090,2
S001237002000910210,2
S001237002001020100,1
S001237002001020220,1
S002837001000210020,2
S002837001000210210,2
S002837001000320090,1
S002837001000320220,1
S003037002001410070,2
S003037002001410090,2
S003037002001520080,1
S003037002001520100,1
S003337002000810070,2
S003337002000810140,2
S003337002001320060,1
S003337002001320130,1
